sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
花蓮,0.16,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 17:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 17:00"
臺東,0.96,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 17:00"
澎湖,0.64,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 17:00"
臺中,0.39,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 17:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 17:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 17:00"
日月潭,0.33,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 17:00"
塔塔加,0.5,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 17:00"
嘉義,0.60,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 17:00"
宜蘭,0.22,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 17:00"
金門,0.13,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 17:00"
玉山,0.93,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 17:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 17:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 17:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 17:00"
屏東,1,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 17:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 17:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 17:00"
橋頭,1,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 17:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 17:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 17:00"
高雄,1.28,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 17:00"
馬祖,0.80,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 17:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 17:00"
鞍部,0.30,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 17:00"
臺南,1.40,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 17:00"
新屋,0.22,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 17:00"
臺北,0.17,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 17:00"
基隆,0.28,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 17:00"
成功,0.22,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 17:00"
蘭嶼,0.37,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 17:00"
新竹,0.28,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 17:00"
恆春,1.51,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 17:00"
嘉義,1.32,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 16:00"
高雄,2.53,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 16:00"
花蓮,0.21,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 16:00"
橋頭,1,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 16:00"
基隆,0.33,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 16:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 16:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 16:00"
新屋,0.97,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 16:00"
蘭嶼,0.70,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 16:00"
馬祖,1.82,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 16:00"
臺北,0.41,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 16:00"
臺南,3.38,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 16:00"
朴子,1,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 16:00"
金門,0.69,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 16:00"
日月潭,0.27,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 16:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 16:00"
彰化,1,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 16:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 16:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 16:00"
屏東,,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 16:00"
成功,0.18,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 16:00"
塔塔加,0.6,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 16:00"
鞍部,0.44,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 16:00"
玉山,0.64,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 16:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 16:00"
臺東,0.85,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 16:00"
臺中,1.07,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 16:00"
澎湖,1.25,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 16:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 16:00"
新竹,0.73,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 16:00"
宜蘭,0.57,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 16:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 16:00"
恆春,3.44,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 16:00"
沙鹿,1,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 16:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 15:00"
朴子,1,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 15:00"
塔塔加,0.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 15:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 15:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 15:00"
臺南,2.26,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 15:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 15:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 15:00"
沙鹿,4,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 15:00"
玉山,0.55,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 15:00"
高雄,3.41,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 15:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 15:00"
馬祖,2.18,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 15:00"
嘉義,0.56,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 15:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 15:00"
澎湖,1.04,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 15:00"
新竹,1.59,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 15:00"
彰化,3,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 15:00"
宜蘭,1.40,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 15:00"
南投,1,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 15:00"
花蓮,1.41,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 15:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 15:00"
臺中,3.04,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 15:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 15:00"
恆春,5.36,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 15:00"
日月潭,0.65,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 15:00"
基隆,1.12,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 15:00"
臺北,0.46,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 15:00"
成功,1.74,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 15:00"
蘭嶼,0.86,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 15:00"
金門,0.16,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 15:00"
新屋,0.83,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 15:00"
臺東,2.27,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 15:00"
鞍部,1.60,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 15:00"
沙鹿,6,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 14:00"
斗六,2,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 14:00"
日月潭,1.73,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 14:00"
屏東,2,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 14:00"
宜蘭,3.70,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 14:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 14:00"
金門,1.57,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 14:00"
澎湖,1.61,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 14:00"
花蓮,1.44,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 14:00"
馬祖,1.60,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 14:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 14:00"
蘭嶼,0.91,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 14:00"
恆春,5.38,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 14:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 14:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 14:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 14:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 14:00"
塔塔加,2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 14:00"
玉山,6.06,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 14:00"
阿里山,1,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 14:00"
新竹,2.82,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 14:00"
臺南,4.61,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 14:00"
高雄,5.27,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 14:00"
基隆,2.14,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 14:00"
臺中,3.67,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 14:00"
成功,2.48,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 14:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 14:00"
彰化,5,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 14:00"
臺北,1.10,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 14:00"
新屋,2.50,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 14:00"
橋頭,4,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 14:00"
鞍部,1.29,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 14:00"
嘉義,0.65,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 14:00"
臺東,4.99,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 14:00"
阿里山,4,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 13:00"
臺北,2.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 13:00"
花蓮,2.44,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 13:00"
嘉義,4.73,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 13:00"
玉山,6.67,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 13:00"
成功,4.12,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 13:00"
金門,3.11,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 13:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 13:00"
基隆,4.63,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 13:00"
宜蘭,7.45,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 13:00"
塔塔加,4.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 13:00"
澎湖,6.24,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 13:00"
恆春,6.75,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 13:00"
臺中,5.20,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 13:00"
蘭嶼,0.60,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 13:00"
臺東,5.41,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 13:00"
日月潭,2.78,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 13:00"
馬祖,1.64,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 13:00"
高雄,4.06,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 13:00"
鞍部,1.80,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 13:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 13:00"
新屋,2.84,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 13:00"
朴子,2,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 13:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 13:00"
斗六,7,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 13:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 13:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 13:00"
臺南,1.51,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 13:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 13:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 13:00"
彰化,7,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 13:00"
新竹,2.10,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 13:00"
苗栗,3,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 13:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 13:00"
成功,1.70,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 12:00"
桃園,3,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 12:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 12:00"
恆春,6.82,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 12:00"
金門,4.45,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 12:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 12:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 12:00"
花蓮,3.31,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 12:00"
日月潭,2.59,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 12:00"
塔塔加,3.4,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 12:00"
蘭嶼,0.92,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 12:00"
朴子,4,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 12:00"
嘉義,3.23,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 12:00"
新竹,3.01,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 12:00"
臺東,9.37,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 12:00"
鞍部,3.11,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 12:00"
澎湖,9.89,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 12:00"
屏東,8,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 12:00"
宜蘭,8.56,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 12:00"
苗栗,4,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 12:00"
基隆,5.51,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 12:00"
新屋,4.03,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 12:00"
淡水,2,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 12:00"
新營,5,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 12:00"
高雄,6.95,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 12:00"
玉山,7.64,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 12:00"
臺南,4.17,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 12:00"
沙鹿,4,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 12:00"
彰化,4,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 12:00"
臺中,5.78,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 12:00"
橋頭,6,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 12:00"
臺北,3.03,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 12:00"
馬祖,1.57,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 12:00"
南投,4,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 12:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 11:00"
花蓮,4.14,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 11:00"
苗栗,6,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 11:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 11:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 11:00"
嘉義,3.19,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 11:00"
阿里山,3,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 11:00"
日月潭,3.38,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 11:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 11:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 11:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 11:00"
屏東,6,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 11:00"
宜蘭,7.83,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 11:00"
澎湖,9.06,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 11:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 11:00"
馬祖,1.86,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 11:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 11:00"
臺中,4.28,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 11:00"
淡水,3,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 11:00"
金門,3.91,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 11:00"
塔塔加,2.9,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 11:00"
朴子,2,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 11:00"
蘭嶼,0.50,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 11:00"
高雄,3.62,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 11:00"
鞍部,4.22,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 11:00"
成功,2.84,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 11:00"
新屋,5.06,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 11:00"
臺東,10.61,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 11:00"
新竹,2.97,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 11:00"
恆春,3.31,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 11:00"
臺南,4.45,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 11:00"
基隆,3.91,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 11:00"
臺北,2.96,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 11:00"
玉山,6.89,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 11:00"
宜蘭,6.71,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 10:00"
高雄,3.01,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 10:00"
臺南,0.91,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 10:00"
新竹,2.27,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 10:00"
蘭嶼,1.11,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 10:00"
屏東,5,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 10:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 10:00"
馬祖,2.25,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 10:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 10:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 10:00"
花蓮,2.86,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 10:00"
