sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
鞍部,3.23,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 10:00"
新屋,4.58,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 10:00"
臺中,4.09,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 10:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 10:00"
新營,2,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 10:00"
臺東,5.37,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 10:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 10:00"
基隆,1.45,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 10:00"
玉山,7.98,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 10:00"
成功,3.44,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 10:00"
澎湖,4.02,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 10:00"
彰化,4,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 10:00"
斗六,6,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 10:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 10:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 10:00"
日月潭,4.08,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 10:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 10:00"
塔塔加,3.3,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 10:00"
嘉義,4.91,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 10:00"
金門,2.36,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 10:00"
恆春,5.42,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 10:00"
臺北,3.42,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 10:00"
朴子,4,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 10:00"
臺東,3.45,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 09:00"
臺北,1.66,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 09:00"
成功,2.83,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 09:00"
玉山,3.62,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 09:00"
澎湖,2.81,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 09:00"
新竹,2.39,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 09:00"
金門,1.31,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 09:00"
宜蘭,4.65,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 09:00"
恆春,4.43,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 09:00"
嘉義,3.46,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 09:00"
高雄,2.88,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 09:00"
基隆,1.32,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 09:00"
日月潭,4.16,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 09:00"
花蓮,3.22,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 09:00"
馬祖,1.56,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 09:00"
臺南,0.83,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 09:00"
新屋,2.78,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 09:00"
臺中,3.32,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 09:00"
蘭嶼,3.29,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 09:00"
鞍部,2.59,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 09:00"
朴子,3,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 09:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 09:00"
彰化,3,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 09:00"
新營,3,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 09:00"
沙鹿,3,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 09:00"
斗六,4,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 09:00"
南投,3,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 09:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 09:00"
塔塔加,2.8,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 09:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 09:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 09:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 09:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 09:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 09:00"
嘉義,1.83,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 08:00"
玉山,1.55,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 08:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 08:00"
蘭嶼,2.29,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 08:00"
鞍部,1.27,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 08:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 08:00"
恆春,1.84,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 08:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 08:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 08:00"
臺南,1.33,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 08:00"
新屋,0.64,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 08:00"
金門,0.98,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 08:00"
南投,1,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 08:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 08:00"
新竹,0.63,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 08:00"
臺東,0.82,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 08:00"
花蓮,1.17,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 08:00"
基隆,0.38,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 08:00"
臺中,1.40,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 08:00"
屏東,1,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 08:00"
沙鹿,1,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 08:00"
日月潭,2.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 08:00"
馬祖,0.70,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 08:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 08:00"
宜蘭,1.34,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 08:00"
成功,1.24,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 08:00"
臺北,0.76,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 08:00"
澎湖,1.57,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 08:00"
斗六,1,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 08:00"
朴子,1,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 08:00"
彰化,1,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 08:00"
高雄,1.06,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 08:00"
阿里山,1,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 08:00"
塔塔加,1.1,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 08:00"
馬祖,0.19,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 07:00"
成功,0.31,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 07:00"
花蓮,0.20,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 07:00"
澎湖,0.35,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 07:00"
臺南,0.43,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 07:00"
高雄,0.40,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 07:00"
日月潭,0.46,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 07:00"
新屋,0.14,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 07:00"
玉山,0.49,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 07:00"
鞍部,0.28,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 07:00"
臺中,0.40,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 07:00"
基隆,0.08,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 07:00"
蘭嶼,0.58,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 07:00"
金門,0.27,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 07:00"
新竹,0.22,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 07:00"
宜蘭,0.25,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 07:00"
恆春,0.37,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 07:00"
臺東,0.28,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 07:00"
臺北,0.19,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 07:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 07:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 07:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 07:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 07:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 07:00"
嘉義,0.46,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 07:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 07:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 07:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 07:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 07:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 07:00"
塔塔加,0.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 07:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 07:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 07:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 07:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 06:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 06:00"
基隆,0.01,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 06:00"
金門,0.01,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 06:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 06:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 06:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 06:00"
花蓮,0.02,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 06:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 06:00"
高雄,0.04,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 06:00"
臺東,0.02,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 06:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 06:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 06:00"
臺南,0.03,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 06:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 06:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 06:00"
玉山,0.05,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 06:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 06:00"
恆春,0.02,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 06:00"
鞍部,0.05,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 06:00"
馬祖,0.01,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 06:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 06:00"
宜蘭,0.04,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 06:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 06:00"
蘭嶼,0.05,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 06:00"
臺北,0.02,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 06:00"
澎湖,0.04,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 06:00"
成功,0.02,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 06:00"
新竹,0.02,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 06:00"
日月潭,0.04,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 06:00"
臺中,0.03,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 06:00"
新屋,0.01,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 06:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 06:00"
嘉義,0.05,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 06:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 05:00"
新竹,0.01,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 05:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 05:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 05:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 05:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 05:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 05:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 05:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 05:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 05:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 05:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 05:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 05:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 05:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 05:00"
高雄,0.00,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 05:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 05:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 05:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 05:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 05:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 05:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 05:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 05:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 05:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 05:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 05:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 05:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 05:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 05:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 05:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 05:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 05:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 05:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 05:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 04:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 04:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 04:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 04:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 04:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 04:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 04:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 04:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 04:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 04:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 04:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 04:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 04:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 04:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 04:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 04:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 04:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 04:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 04:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 04:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 04:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 04:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 04:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 04:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 04:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 04:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 04:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 04:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 04:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 04:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 04:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 04:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 04:00"
高雄,0.00,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 04:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 03:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 03:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 03:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 03:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 03:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 03:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 03:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 03:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 03:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 03:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 03:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 03:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 03:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 03:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 03:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 03:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 03:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 03:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 03:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 03:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 03:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 03:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 03:00"
