sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 03:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 03:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 03:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 03:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 03:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 03:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 03:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 03:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 03:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 03:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 03:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 02:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 02:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 02:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 02:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 02:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 02:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 02:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 02:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 02:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 02:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 02:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 02:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 02:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 02:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 02:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 02:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 02:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 02:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 02:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 02:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 02:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 02:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 02:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 02:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 02:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 02:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 02:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 02:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 02:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 02:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 02:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 02:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 02:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 02:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 01:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 01:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 01:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 01:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 01:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 01:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 01:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 01:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 01:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 01:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 01:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 01:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 01:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 01:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 01:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 01:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 01:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 01:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 01:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 01:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 01:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 01:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 01:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 01:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 01:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 01:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 01:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 01:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 01:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 01:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 01:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 01:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 01:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 01:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 00:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 00:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 00:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 00:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 00:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 00:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 00:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 00:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 00:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 00:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 00:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 00:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 00:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 00:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 00:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 00:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 00:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 00:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 00:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 00:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 00:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 00:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 00:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 00:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 00:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 00:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 00:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 00:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 00:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 00:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 00:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 00:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 00:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 00:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 23:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 23:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 23:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 23:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 23:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 23:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 23:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 23:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 23:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 23:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 23:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 23:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 23:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 23:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 23:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 23:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 23:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 23:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 23:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 23:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 23:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 23:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 23:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 23:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 23:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 23:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 23:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 23:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 23:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 23:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 23:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 23:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 23:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 23:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 22:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 22:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 22:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 22:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 22:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 22:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 22:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 22:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 22:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 22:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 22:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 22:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 22:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 22:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 22:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 22:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 22:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 22:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 22:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 22:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 22:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 22:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 22:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 22:00"
高雄,-999,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 22:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 22:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 22:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 22:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 22:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 22:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 22:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 22:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 22:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 22:00"
高雄,0.00,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 21:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 21:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 21:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 21:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 21:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 21:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 21:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 21:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 21:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 21:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 21:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 21:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 21:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 21:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 21:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 21:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 21:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 21:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 21:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 21:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 21:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 21:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 21:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 21:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 21:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 21:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 21:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 21:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 21:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 21:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 21:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 21:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 21:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 21:00"
新竹,0.00,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 20:00"
成功,0.00,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 20:00"
新屋,0.00,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 20:00"
馬祖,0.00,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 20:00"
臺北,0.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 20:00"
宜蘭,0.00,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 20:00"
日月潭,0.00,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 20:00"
臺南,0.00,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 20:00"
臺中,0.00,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 20:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 20:00"
玉山,0.00,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 20:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 20:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 20:00"
蘭嶼,0.00,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 20:00"
花蓮,0.00,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 20:00"
澎湖,0.00,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 20:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 20:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 20:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 20:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 20:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 20:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 20:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 20:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 20:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 20:00"
嘉義,0.00,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 20:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 20:00"
恆春,0.00,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 20:00"
臺東,0.00,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 20:00"
金門,0.00,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 20:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 20:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 20:00"
基隆,0.00,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 20:00"
高雄,0.00,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 20:00"
花蓮,0.01,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 19:00"
