sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
成功,0.01,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 19:00"
臺北,0.01,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 19:00"
恆春,0.02,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 19:00"
新竹,0.02,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 19:00"
臺南,0.02,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 19:00"
玉山,0.01,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 19:00"
高雄,0.01,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 19:00"
鞍部,0.00,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 19:00"
馬祖,0.01,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 19:00"
蘭嶼,0.01,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 19:00"
新屋,0.01,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 19:00"
基隆,0.01,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 19:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 19:00"
嘉義,0.01,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 19:00"
臺中,0.01,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 19:00"
澎湖,0.03,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 19:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 19:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 19:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 19:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 19:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 19:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 19:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 19:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 19:00"
宜蘭,0.01,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 19:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 19:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 19:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 19:00"
金門,0.02,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 19:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 19:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 19:00"
日月潭,0.01,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 19:00"
臺東,0.01,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 19:00"
新竹,0.11,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 18:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 18:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 18:00"
日月潭,0.26,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 18:00"
玉山,0.10,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 18:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 18:00"
澎湖,0.33,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 18:00"
朴子,0,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 18:00"
鞍部,0.12,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 18:00"
成功,0.13,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 18:00"
高雄,0.31,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 18:00"
臺南,0.24,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 18:00"
臺東,0.10,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 18:00"
恆春,0.31,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 18:00"
塔塔加,0,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 18:00"
嘉義,0.21,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 18:00"
花蓮,0.24,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 18:00"
斗六,0,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 18:00"
南投,0,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 18:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 18:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 18:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 18:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 18:00"
蘭嶼,0.33,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 18:00"
新屋,0.15,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 18:00"
金門,0.36,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 18:00"
臺北,0.15,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 18:00"
基隆,0.08,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 18:00"
馬祖,0.12,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 18:00"
宜蘭,0.11,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 18:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 18:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 18:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 18:00"
臺中,0.15,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 18:00"
高雄,0.84,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 17:00"
玉山,0.44,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 17:00"
馬祖,0.46,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 17:00"
臺南,1.32,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 17:00"
成功,0.17,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 17:00"
基隆,0.35,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 17:00"
臺北,0.39,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 17:00"
鞍部,0.25,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 17:00"
新屋,0.20,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 17:00"
花蓮,0.62,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 17:00"
新竹,0.21,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 17:00"
恆春,1.41,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 17:00"
新營,0,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 17:00"
朴子,1,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 17:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 17:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 17:00"
屏東,0,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 17:00"
斗六,1,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 17:00"
阿里山,0,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 17:00"
彰化,0,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 17:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 17:00"
澎湖,1.08,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 17:00"
金門,1.31,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 17:00"
塔塔加,0.3,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 17:00"
嘉義,1.23,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 17:00"
沙鹿,0,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 17:00"
臺中,0.92,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 17:00"
日月潭,0.62,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 17:00"
蘭嶼,1.46,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 17:00"
宜蘭,0.32,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 17:00"
苗栗,0,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 17:00"
南投,1,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 17:00"
臺東,0.73,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 17:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 17:00"
成功,1.73,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 16:00"
高雄,0.46,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 16:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 16:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 16:00"
屏東,2,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 16:00"
新屋,-999,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 16:00"
馬祖,0.67,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 16:00"
基隆,-999,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 16:00"
花蓮,-999,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 16:00"
沙鹿,1,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 16:00"
新營,2,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 16:00"
恆春,-999,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 16:00"
塔塔加,1.7,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 16:00"
臺北,0.52,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 16:00"
新竹,1.01,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 16:00"
蘭嶼,3.76,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 16:00"
桃園,0,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 16:00"
斗六,2,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 16:00"
玉山,2.64,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 16:00"
宜蘭,0.84,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 16:00"
朴子,3,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 16:00"
臺南,2.69,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 16:00"
澎湖,-999,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 16:00"
板橋,0,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 16:00"
橋頭,0,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 16:00"
金門,-999,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 16:00"
南投,2,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 16:00"
臺中,-999,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 16:00"
彰化,3,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 16:00"
日月潭,1.63,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 16:00"
嘉義,3.44,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 16:00"
鞍部,0.68,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 16:00"
阿里山,1,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 16:00"
臺東,-999,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 16:00"
阿里山,5,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 15:00"
馬祖,1.36,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 15:00"
臺南,1.57,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 15:00"
新竹,1.29,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 15:00"
花蓮,3.29,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 15:00"
塔塔加,1.6,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 15:00"
鞍部,0.74,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 15:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 15:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 15:00"
玉山,4.26,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 15:00"
高雄,2.57,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 15:00"
宜蘭,1.64,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 15:00"
淡水,0,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 15:00"
澎湖,4.18,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 15:00"
新屋,1.27,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 15:00"
蘭嶼,2.23,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 15:00"
臺北,1.49,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 15:00"
臺中,3.79,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 15:00"
恆春,1.81,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 15:00"
基隆,0.78,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 15:00"
成功,5.46,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 15:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 15:00"
彰化,4,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 15:00"
朴子,6,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 15:00"
臺東,0.79,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 15:00"
日月潭,2.68,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 15:00"
新營,4,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 15:00"
沙鹿,4,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 15:00"
金門,4.70,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 15:00"
嘉義,5.31,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 15:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 15:00"
斗六,4,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 15:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 15:00"
南投,2,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 15:00"
日月潭,2.67,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 14:00"
金門,4.88,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 14:00"
臺南,2.13,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 14:00"
玉山,6.22,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 14:00"
朴子,8,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 14:00"
斗六,6,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 14:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 14:00"
阿里山,3,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 14:00"
新營,7,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 14:00"
南投,1,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 14:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 14:00"
新竹,1.60,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 14:00"
高雄,4.31,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 14:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 14:00"
宜蘭,4.48,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 14:00"
澎湖,7.26,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 14:00"
新屋,1.16,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 14:00"
臺中,6.67,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 14:00"
臺東,8.56,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 14:00"
蘭嶼,2.56,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 14:00"
馬祖,3.84,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 14:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 14:00"
成功,9.67,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 14:00"
嘉義,6.63,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 14:00"
鞍部,0.97,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 14:00"
恆春,5.89,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 14:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 14:00"
臺北,1.78,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 14:00"
基隆,1.08,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 14:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 14:00"
塔塔加,3,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 14:00"
花蓮,7.06,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 14:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 14:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 14:00"
塔塔加,3.5,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 13:00"
南投,2,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 13:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 13:00"
朴子,6,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 13:00"
彰化,9,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 13:00"
新營,6,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 13:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 13:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 13:00"
阿里山,5,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 13:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 13:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 13:00"
鞍部,1.45,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 13:00"
新竹,2.70,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 13:00"
臺南,-999,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 13:00"
基隆,2.68,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 13:00"
玉山,9.06,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 13:00"
澎湖,7.61,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 13:00"
蘭嶼,2.93,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 13:00"
嘉義,5.24,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 13:00"
新屋,2.16,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 13:00"
高雄,3.28,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 13:00"
臺東,14.03,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 13:00"
花蓮,5.93,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 13:00"
日月潭,3.71,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 13:00"
臺北,4.37,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 13:00"
馬祖,2.89,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 13:00"
恆春,6.96,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 13:00"
臺中,8.66,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 13:00"
金門,4.98,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 13:00"
宜蘭,8.70,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 13:00"
板橋,3,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 13:00"
淡水,2,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 13:00"
成功,11.84,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 13:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 13:00"
臺中,5.19,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 12:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 12:00"
馬祖,3.07,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 12:00"
阿里山,5,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 12:00"
屏東,9,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 12:00"
塔塔加,3.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 12:00"
斗六,8,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 12:00"
朴子,7,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 12:00"
鞍部,2.09,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 12:00"
蘭嶼,3.95,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 12:00"
新營,7,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 12:00"
臺南,10.36,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 12:00"
日月潭,5.25,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 12:00"
基隆,4.75,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 12:00"
